Ticker,neg,neu,pos,compound,Title,url
FNJN,0.025,0.826,0.149,0.8885,Finjan: Generates First IP Revenues By Licensing To Websense - Finjan Holdings Inc. (NASDAQ:FNJN),http://seekingalpha.com/article/2674745-finjan-generates-first-ip-revenues-by-licensing-to-websense?source=feed_symbol_fnjn
FNJN,0.025,0.826,0.149,0.8885,Finjan: A Pure Play In Cybersecurity Licensing With Promise - Finjan Holdings Inc. (NASDAQ:FNJN),http://seekingalpha.com/article/2501615-finjan-a-pure-play-in-cybersecurity-licensing-with-promise?source=feed_symbol_fnjn
FNJN,0.025,0.826,0.149,0.8885,Why Finjan Could Go From $6 To $15 - Finjan Holdings Inc. (NASDAQ:FNJN),http://seekingalpha.com/article/1959571-why-finjan-could-go-from-6-to-15?source=feed_symbol_fnjn
FNJN,0.036,0.832,0.132,0.9991,Finjan: A New Investment Opportunity In Intellectual Property - Finjan Holdings Inc. (NASDAQ:FNJN),http://seekingalpha.com/article/1883151-finjan-a-new-investment-opportunity-in-intellectual-property?source=feed_symbol_fnjn
FNJN,0.025,0.826,0.149,0.8885,Finjan: Poised To Pop With Tightly Held Float And Great Investors - Finjan Holdings Inc. (NASDAQ:FNJN),http://seekingalpha.com/article/1542562-finjan-poised-to-pop-with-tightly-held-float-and-great-investors?source=feed_symbol_fnjn
FNJN,0.008,0.841,0.151,0.9866,Converted Organics' Big Bet on Growth in Vertical Farming - Finjan Holdings Inc. (NASDAQ:FNJN),http://seekingalpha.com/article/213493-converted-organics-big-bet-on-growth-in-vertical-farming?source=feed_symbol_fnjn
ENZN,0.062,0.818,0.12,0.9951,Warning! Enzon Pharmaceuticals Is Definitely Going To $0 - Enzon Pharmaceuticals Inc. (NASDAQ:ENZN),http://seekingalpha.com/article/1943881-warning-enzon-pharmaceuticals-is-definitely-going-to-0?source=feed_symbol_enzn
ENZN,0.025,0.826,0.149,0.8885,What's Left Of Enzon Pharmaceuticals? - Enzon Pharmaceuticals Inc. (NASDAQ:ENZN),http://seekingalpha.com/article/1720262-whats-left-of-enzon-pharmaceuticals?source=feed_symbol_enzn
ENZN,0.033,0.788,0.179,0.8625,Enzon Pharmaceuticals (ENZN -11.5%) flips an... - Enzon Pharmaceuticals Inc. (NASDAQ:ENZN),http://seekingalpha.com/news/964241?source=feed_symbol_enzn
ENZN,0.089,0.874,0.037,-0.4019,Enzon Pharmaceuticals (ENZN -2.8%) hits a new... - Enzon Pharmaceuticals Inc. (NASDAQ:ENZN),http://seekingalpha.com/news/912531?source=feed_symbol_enzn
OCLS,0.017,0.897,0.086,0.9993,Oculus' (OCLS) CEO Jim Schutz on Q3 2015 Results - Earnings Call Transcript,http://seekingalpha.com/article/2913676-oculus-ocls-ceo-jim-schutz-on-q3-2015-results-earnings-call-transcript?source=feed_symbol_ocls
OCLS,0.025,0.823,0.152,0.8885,Oculus Innovative Sciences (OCLS) Q3 2015 Results - Earnings Call Webcast,http://seekingalpha.com/article/2910626-oculus-innovative-sciences-ocls-q3-2015-results-earnings-call-webcast?source=feed_symbol_ocls
OCLS,0.021,0.886,0.093,0.9995,Oculus' (OCLS) CEO Jim Schutz on Q2 2015 Results - Earnings Call Transcript,http://seekingalpha.com/article/2680565-oculus-ocls-ceo-jim-schutz-on-q2-2015-results-earnings-call-transcript?source=feed_symbol_ocls
OCLS,0.025,0.823,0.152,0.8885,Oculus Innovative Sciences (OCLS) Q2 2015 Results - Earnings Call Webcast,http://seekingalpha.com/article/2673255-oculus-innovative-sciences-ocls-q2-2015-results-earnings-call-webcast?source=feed_symbol_ocls
OCLS,0.015,0.9,0.085,0.9988,Oculus Innovative Sciences' (OCLS) CEO Jim Schutz on Q1 2015 Results - Earnings Call Transcript,http://seekingalpha.com/article/2398805-oculus-innovative-sciences-ocls-ceo-jim-schutz-on-q1-2015-results-earnings-call-transcript?source=feed_symbol_ocls
OCLS,0.025,0.823,0.152,0.8885,Oculus Innovative Sciences (OCLS) Q1 2015 Results - Earnings Call Webcast,http://seekingalpha.com/article/2394935-oculus-innovative-sciences-ocls-q1-2015-results-earnings-call-webcast?source=feed_symbol_ocls
OCLS,0.053,0.8,0.147,1.0,Why Oculus Could Trade Higher Within 2 Weeks - Oculus Innovative Sciences Inc. (NASDAQ:OCLS),http://seekingalpha.com/article/2093023-why-oculus-could-trade-higher-within-2-weeks?source=feed_symbol_ocls
OCLS,0.025,0.823,0.152,0.8885,Oculus Innovative Sciences (OCLS) Q3 2014 Results Results - Earnings Call Webcast,http://seekingalpha.com/article/2018571-oculus-innovative-sciences-ocls-q3-2014-results-results-earnings-call-webcast?source=feed_symbol_ocls
